Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
AUDI A3,2,4,AMS-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NVGAV02.0A3B,small car,7,29,38,32,7,Yes
AUDI A3,2,4,AMS-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NVGAV02.0A3B,small car,7,29,38,32,7,Yes
AUDI A3,2,4,AMS-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NVGAV02.0A3B,small car,7,28,36,31,7,Yes
AUDI A3,2,4,AMS-7,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NVGAV02.0A3B,small car,7,28,36,31,7,Yes
AUDI A7 TFSI e quattro,2,4,AMS-7,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NVGAJ02.0A3P,midsize car,7,25/66,31/75,27/70,10,Yes
AUDI A7 TFSI e quattro,2,4,AMS-7,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NVGAJ02.0A3P,midsize car,7,25/66,31/75,27/70,10,Yes
AUDI Q4 e-tron Sportback quattro,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVGAT00.0NZ5,standard SUV,10,100,89,95,10,Elite
AUDI Q4 e-tron Sportback quattro,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NVGAT00.0NZ5,standard SUV,10,100,89,95,10,Elite
AUDI Q4 e-tron quattro,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVGAT00.0NZ5,standard SUV,10,100,89,95,10,Elite
AUDI Q4 e-tron quattro,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NVGAT00.0NZ5,standard SUV,10,100,89,95,10,Elite
AUDI Q5 TFSI e quattro,2,4,AMS-7,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NVGAJ02.0A3P,small SUV,7,25/60,27/61,26/61,10,Yes
AUDI Q5 TFSI e quattro,2,4,AMS-7,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NVGAJ02.0A3P,small SUV,7,25/60,27/61,26/61,10,Yes
AUDI RS e-tron GT,N/A,N/A,Auto-2,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVGAV00.0AZG,midsize car,10,79,82,81,10,Elite
AUDI RS e-tron GT,N/A,N/A,Auto-2,4WD,Electricity,CA,ZEV,California ZEV,NVGAV00.0AZG,midsize car,10,79,82,81,10,Elite
AUDI e-tron GT,N/A,N/A,Auto-2,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVGAV00.0AZG,midsize car,10,81,83,82,10,Elite
AUDI e-tron GT,N/A,N/A,Auto-2,4WD,Electricity,CA,ZEV,California ZEV,NVGAV00.0AZG,midsize car,10,81,83,82,10,Elite
"AUDI e-tron S (20"" wheels)",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVGAT00.0AZS,standard SUV,10,72,75,73,10,Elite
"AUDI e-tron S (20"" wheels)",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NVGAT00.0AZS,standard SUV,10,72,75,73,10,Elite
"AUDI e-tron S (21"" or 22"" wheels)",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVGAT00.0AZS,standard SUV,10,62,64,63,10,Elite
"AUDI e-tron S (21"" or 22"" wheels)",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NVGAT00.0AZS,standard SUV,10,62,64,63,10,Elite
"AUDI e-tron S Sportback (20"" wheel)",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVGAT00.0AZS,standard SUV,10,73,78,75,10,Elite
"AUDI e-tron S Sportback (20"" wheel)",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NVGAT00.0AZS,standard SUV,10,73,78,75,10,Elite
"AUDI e-tron S Sportback(21/22"" wh)",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVGAT00.0AZS,standard SUV,10,64,66,65,10,Elite
"AUDI e-tron S Sportback(21/22"" wh)",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NVGAT00.0AZS,standard SUV,10,64,66,65,10,Elite
AUDI e-tron Sportback quattro,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVGAT00.0AZE,standard SUV,10,76,78,77,10,Elite
AUDI e-tron Sportback quattro,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NVGAT00.0AZE,standard SUV,10,76,78,77,10,Elite
AUDI e-tron quattro,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVGAT00.0AZE,standard SUV,10,78,77,78,10,Elite
AUDI e-tron quattro,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NVGAT00.0AZE,standard SUV,10,78,77,78,10,Elite
BMW 330e,2,4,SemiAuto-8,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NBMXJ02.0H30,small car,7,25/72,33/80,28/75,9,Yes
BMW 330e,2,4,SemiAuto-8,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NBMXJ02.0H30,small car,7,25/72,33/80,28/75,9,Yes
BMW 330e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NBMXJ02.0H30,small car,7,22/64,30/71,25/67,9,Yes
BMW 330e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NBMXJ02.0H30,small car,7,22/64,30/71,25/67,9,Yes
BMW 530e,2,4,SemiAuto-8,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NBMXJ02.0H30,small car,7,24/59,29/72,26/64,9,Yes
BMW 530e,2,4,SemiAuto-8,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NBMXJ02.0H30,small car,7,24/59,29/72,26/64,9,Yes
BMW 530e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NBMXJ02.0H30,small car,7,22/59,28/67,25/62,8,Yes
BMW 530e,2,4,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NBMXJ02.0H30,small car,7,22/59,28/67,25/62,8,Yes
BMW X5 xDrive45e,3,6,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NBMXT03.0H05,standard SUV,7,19/47,22/54,20/50,9,Yes
BMW X5 xDrive45e,3,6,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NBMXT03.0H05,standard SUV,7,19/47,22/54,20/50,9,Yes
"BMW i4 M50 Gran Coupe (19"" Wheels)",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NBMXV00.0G2X,small car,10,94,98,96,10,Elite
"BMW i4 M50 Gran Coupe (19"" Wheels)",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NBMXV00.0G2X,small car,10,94,98,96,10,Elite
"BMW i4 M50 Gran Coupe (20"" Wheels)",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NBMXV00.0G2X,small car,10,79,80,80,10,Elite
"BMW i4 M50 Gran Coupe (20"" Wheels)",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NBMXV00.0G2X,small car,10,79,80,80,10,Elite
"BMW i4eDrive40GranCoupe(18"" Whels)",N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NBMXV00.0G2S,small car,10,109,108,109,10,Elite
"BMW i4eDrive40GranCoupe(18"" Whels)",N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,NBMXV00.0G2S,small car,10,109,108,109,10,Elite
"BMW i4eDrive40GranCoupe(19"" Whels)",N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NBMXV00.0G2S,small car,10,100,98,99,10,Elite
"BMW i4eDrive40GranCoupe(19"" Whels)",N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,NBMXV00.0G2S,small car,10,100,98,99,10,Elite
"BMW iX xDrive50 (20"" Wheels)",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NBMXT00.0I2M,standard SUV,10,86,87,86,10,Elite
"BMW iX xDrive50 (20"" Wheels)",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NBMXT00.0I2M,standard SUV,10,86,87,86,10,Elite
"BMW iX xDrive50 (21"" Wheels)",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NBMXT00.0I2M,standard SUV,10,82,84,83,10,Elite
"BMW iX xDrive50 (21"" Wheels)",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NBMXT00.0I2M,standard SUV,10,82,84,83,10,Elite
"BMW iX xDrive50 (22"" Wheels)",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NBMXT00.0I2M,standard SUV,10,86,85,86,10,Elite
"BMW iX xDrive50 (22"" Wheels)",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NBMXT00.0I2M,standard SUV,10,86,85,86,10,Elite
CHEVROLET Bolt EUV,N/A,N/A,CVT,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NGMXV00.0002,station wagon,10,125,104,115,10,Elite
CHEVROLET Bolt EUV,N/A,N/A,CVT,2WD,Electricity,CA,ZEV,California ZEV,NGMXV00.0002,station wagon,10,125,104,115,10,Elite
CHEVROLET Bolt EV,N/A,N/A,CVT,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NGMXV00.0002,station wagon,10,131,109,120,10,Elite
CHEVROLET Bolt EV,N/A,N/A,CVT,2WD,Electricity,CA,ZEV,California ZEV,NGMXV00.0002,station wagon,10,131,109,120,10,Elite
CHEVROLET Malibu,1.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NGMXV01.5010,midsize car,7,29,36,32,7,Yes
CHEVROLET Malibu,1.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NGMXV01.5010,midsize car,7,29,36,32,7,Yes
CHEVROLET Trailblazer,1.3,3,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NGMXV01.3545,small SUV,7,29,33,31,7,Yes
CHEVROLET Trailblazer,1.3,3,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NGMXV01.3545,small SUV,7,29,33,31,7,Yes
CHRYSLER Pacifica Hybrid,3.6,6,CVT,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NCRXT03.65P6,minivan,7,29/87,30/77,30/82,10,Yes
CHRYSLER Pacifica Hybrid,3.6,6,CVT,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NCRXT03.65P6,minivan,7,29/87,30/77,30/82,10,Yes
FORD Escape HEV,2.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NFMXT02.52F1,small SUV,7,44,37,41,8,Yes
FORD Escape HEV,2.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NFMXT02.52F1,small SUV,7,44,37,41,8,Yes
FORD Escape HEV,2.5,4,CVT,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NFMXT02.52F1,small SUV,7,43,37,40,8,Yes
FORD Escape HEV,2.5,4,CVT,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NFMXT02.52F1,small SUV,7,43,37,40,8,Yes
FORD Escape PHEV,2.5,4,CVT,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NFMXT02.52P1,small SUV,7,43/117,38/93,40/105,10,Yes
FORD Escape PHEV,2.5,4,CVT,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NFMXT02.52P1,small SUV,7,43/117,38/93,40/105,10,Yes
FORD Mustang Mach-E,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NFMXV00.0B3R,station wagon,10,110,96,103,10,Elite
FORD Mustang Mach-E,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,NFMXV00.0B3R,station wagon,10,110,96,103,10,Elite
FORD Mustang Mach-E,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NFMXV00.0B3A,station wagon,10,99,86,93,10,Elite
FORD Mustang Mach-E,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NFMXV00.0B3A,station wagon,10,99,86,93,10,Elite
FORD Mustang Mach-E Cal Route 1 ER,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NFMXV00.0B4R,station wagon,10,108,94,101,10,Elite
FORD Mustang Mach-E Cal Route 1 ER,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,NFMXV00.0B4R,station wagon,10,108,94,101,10,Elite
FORD Mustang Mach-E Cal Route 1 ER,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NFMXV00.0B4A,station wagon,10,105,91,98,10,Elite
FORD Mustang Mach-E Cal Route 1 ER,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NFMXV00.0B4A,station wagon,10,105,91,98,10,Elite
FORD Mustang Mach-E Extended,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NFMXV00.0B4R,station wagon,10,104,90,97,10,Elite
FORD Mustang Mach-E Extended,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,NFMXV00.0B4R,station wagon,10,104,90,97,10,Elite
FORD Mustang Mach-E Extended,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NFMXV00.0B4A,station wagon,10,97,84,91,10,Elite
FORD Mustang Mach-E Extended,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NFMXV00.0B4A,station wagon,10,97,84,91,10,Elite
FORD Mustang Mach-E GT,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NFMXV00.0G4A,station wagon,10,90,77,84,10,Elite
FORD Mustang Mach-E GT,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NFMXV00.0G4A,station wagon,10,90,77,84,10,Elite
FORD Mustang Mach-E GT Performance,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NFMXV00.0G4A,station wagon,10,88,75,82,10,Elite
FORD Mustang Mach-E GT Performance,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NFMXV00.0G4A,station wagon,10,88,75,82,10,Elite
HONDA Accord,1.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHNXV01.53EB,large car,7,30,38,33,7,Yes
HONDA Accord,1.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHNXV01.53EB,large car,7,30,38,33,7,Yes
HONDA Accord,2,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHNXV02.0BEB,large car,7,48,47,47,9,Yes
HONDA Accord,2,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHNXV02.0BEB,large car,7,48,47,47,9,Yes
HONDA Accord Sport/Touring,1.5,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHNXV01.53EB,large car,7,29,35,32,7,Yes
HONDA Accord Sport/Touring,1.5,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHNXV01.53EB,large car,7,29,35,32,7,Yes
HONDA Accord Sport/Touring,2,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHNXV02.0BEB,large car,7,44,41,43,8,Yes
HONDA Accord Sport/Touring,2,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHNXV02.0BEB,large car,7,44,41,43,8,Yes
HONDA CR-V,2,4,CVT,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHNXT02.0WMC,small SUV,7,40,35,38,8,Yes
HONDA CR-V,2,4,CVT,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHNXT02.0WMC,small SUV,7,40,35,38,8,Yes
HONDA Civic 4Dr,1.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHNXV01.5EEB,midsize car,7,33,42,36,7,Yes
HONDA Civic 4Dr,1.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHNXV01.5EEB,midsize car,7,33,42,36,7,Yes
HONDA Civic 4Dr,1.5,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHNXV01.5EEB,midsize car,7,31,38,34,7,Yes
HONDA Civic 4Dr,1.5,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHNXV01.5EEB,midsize car,7,31,38,34,7,Yes
HONDA Civic 4Dr,2,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHNXV02.0JEC,midsize car,7,31,40,35,7,Yes
HONDA Civic 4Dr,2,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHNXV02.0JEC,midsize car,7,31,40,35,7,Yes
HONDA Civic 4Dr,2,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHNXV02.0JEC,midsize car,7,30,37,33,7,Yes
HONDA Civic 4Dr,2,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHNXV02.0JEC,midsize car,7,30,37,33,7,Yes
HONDA Civic 5Dr,1.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHNXV01.5EEB,large car,7,31,39,35,7,Yes
HONDA Civic 5Dr,1.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHNXV01.5EEB,large car,7,31,39,35,7,Yes
HONDA Civic 5Dr,1.5,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHNXV01.5EEB,large car,7,30,37,33,7,Yes
HONDA Civic 5Dr,1.5,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHNXV01.5EEB,large car,7,30,37,33,7,Yes
HONDA Civic 5Dr,2,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHNXV02.0FEC,large car,7,30,38,33,7,Yes
HONDA Civic 5Dr,2,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHNXV02.0FEC,large car,7,30,38,33,7,Yes
HONDA Civic 5Dr,2,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHNXV02.0FEC,large car,7,29,37,32,7,Yes
HONDA Civic 5Dr,2,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHNXV02.0FEC,large car,7,29,37,32,7,Yes
HONDA Insight,1.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHNXV01.5CEB,midsize car,7,55,49,52,9,Yes
HONDA Insight,1.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHNXV01.5CEB,midsize car,7,55,49,52,9,Yes
HONDA Insight Touring,1.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHNXV01.5CEB,small car,7,51,45,48,9,Yes
HONDA Insight Touring,1.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHNXV01.5CEB,small car,7,51,45,48,9,Yes
HYUNDAI Elantra,2,4,SCV-1,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHYXV02.0CE3,midsize car,7,31,41,35,7,Yes
HYUNDAI Elantra,2,4,SCV-1,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHYXV02.0CE3,midsize car,7,33,43,37,8,Yes
HYUNDAI Elantra,2,4,SCV-1,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHYXV02.0CE3,midsize car,7,31,41,35,7,Yes
HYUNDAI Elantra,2,4,SCV-1,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHYXV02.0CE3,midsize car,7,33,43,37,8,Yes
HYUNDAI Elantra Hybrid,1.6,4,AMS-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHYXV01.6C13,midsize car,7,49,52,50,9,Yes
HYUNDAI Elantra Hybrid,1.6,4,AMS-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHYXV01.6C13,midsize car,7,49,52,50,9,Yes
HYUNDAI Elantra Hybrid Blue,1.6,4,AMS-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHYXV01.6C13,midsize car,7,53,56,54,9,Yes
HYUNDAI Elantra Hybrid Blue,1.6,4,AMS-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHYXV01.6C13,midsize car,7,53,56,54,9,Yes
HYUNDAI Ioniq,1.6,4,AMS-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHYXV01.6P13,large car,7,54,57,55,9,Yes
HYUNDAI Ioniq,1.6,4,AMS-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHYXV01.6P13,large car,7,54,57,55,9,Yes
HYUNDAI Ioniq 5,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NHYXV00.0W51,large car,10,127,94,110,10,Elite
HYUNDAI Ioniq 5,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,NHYXV00.0W51,large car,10,127,94,110,10,Elite
HYUNDAI Ioniq 5,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NHYXV00.0W61,large car,10,132,98,114,10,Elite
HYUNDAI Ioniq 5,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,NHYXV00.0W61,large car,10,132,98,114,10,Elite
HYUNDAI Ioniq 5,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NHYXV00.0W41,large car,10,110,87,98,10,Elite
HYUNDAI Ioniq 5,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NHYXV00.0W41,large car,10,110,87,98,10,Elite
HYUNDAI Ioniq Blue,1.6,4,AMS-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHYXV01.6P13,large car,7,58,60,59,10,Yes
HYUNDAI Ioniq Blue,1.6,4,AMS-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHYXV01.6P13,large car,7,58,60,59,10,Yes
HYUNDAI Ioniq Plug-in Hybrid,1.6,4,AMS-6,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NHYXV01.6P2T,midsize car,7,52/123,51/115,52/119,10,Yes
