Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
HYUNDAI Ioniq Plug-in Hybrid,1.6,4,AMS-6,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NHYXV01.6P2T,midsize car,7,52/123,51/115,52/119,10,Yes
HYUNDAI Kona,2,4,SCV-1,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHYXV02.0KE3,small SUV,7,30,35,32,7,Yes
HYUNDAI Kona,2,4,SCV-1,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHYXV02.0KE3,small SUV,7,30,35,32,7,Yes
HYUNDAI Kona Electric,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NHYXV00.0K41,small SUV,10,132,108,120,10,Elite
HYUNDAI Kona Electric,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,NHYXV00.0K41,small SUV,10,132,108,120,10,Elite
HYUNDAI NEXO,N/A,N/A,Auto-1,2WD,Hydrogen,FA,T3B0,Federal Tier 3 Bin 0,NHYXV00.0R31,small SUV,10,59,54,57,10,Elite
HYUNDAI NEXO,N/A,N/A,Auto-1,2WD,Hydrogen,CA,ZEV,California ZEV,NHYXV00.0R31,small SUV,10,59,54,57,10,Elite
HYUNDAI NEXO Blue,N/A,N/A,Auto-1,2WD,Hydrogen,FA,T3B0,Federal Tier 3 Bin 0,NHYXV00.0R31,small SUV,10,65,58,61,10,Elite
HYUNDAI NEXO Blue,N/A,N/A,Auto-1,2WD,Hydrogen,CA,ZEV,California ZEV,NHYXV00.0R31,small SUV,10,65,58,61,10,Elite
HYUNDAI Santa Fe Hybrid,1.6,4,AMS-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHYXT01.6M13,small SUV,7,33,30,32,7,Yes
HYUNDAI Santa Fe Hybrid,1.6,4,AMS-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHYXT01.6M13,small SUV,7,33,30,32,7,Yes
HYUNDAI Santa Fe Hybrid Blue,1.6,4,AMS-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHYXT01.6M13,small SUV,7,36,31,34,7,Yes
HYUNDAI Santa Fe Hybrid Blue,1.6,4,AMS-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHYXT01.6M13,small SUV,7,36,31,34,7,Yes
HYUNDAI Santa Fe Plug-in Hybrid,1.6,4,AMS-6,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NHYXT01.6M2T,small SUV,7,33/79,32/72,33/76,10,Yes
HYUNDAI Santa Fe Plug-in Hybrid,1.6,4,AMS-6,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NHYXT01.6M2T,small SUV,7,33/79,32/72,33/76,10,Yes
HYUNDAI Sonata,2.5,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHYXV02.5ER3,large car,7,27,37,31,7,Yes
HYUNDAI Sonata,2.5,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHYXV02.5ER3,large car,7,28,38,32,7,Yes
HYUNDAI Sonata,2.5,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHYXV02.5ER3,large car,7,27,37,31,7,Yes
HYUNDAI Sonata,2.5,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHYXV02.5ER3,large car,7,28,38,32,7,Yes
HYUNDAI Sonata Hybrid,2,4,AMS-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHYXV02.0E13,large car,7,45,51,47,9,Yes
HYUNDAI Sonata Hybrid,2,4,AMS-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHYXV02.0E13,large car,7,45,51,47,9,Yes
HYUNDAI Sonata Hybrid Blue,2,4,AMS-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHYXV02.0E13,large car,7,50,54,52,9,Yes
HYUNDAI Sonata Hybrid Blue,2,4,AMS-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHYXV02.0E13,large car,7,50,54,52,9,Yes
HYUNDAI Tuscon Hybrid,1.6,4,AMS-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHYXT01.6L13,small SUV,7,37,36,37,8,Yes
HYUNDAI Tuscon Hybrid,1.6,4,AMS-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHYXT01.6L13,small SUV,7,37,36,37,8,Yes
HYUNDAI Tuscon Hybrid Blue,1.6,4,AMS-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHYXT01.6L13,small SUV,7,38,38,38,8,Yes
HYUNDAI Tuscon Hybrid Blue,1.6,4,AMS-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHYXT01.6L13,small SUV,7,38,38,38,8,Yes
HYUNDAI Tuscon Plug-in Hybrid,1.6,4,AMS-6,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NHYXT01.6L2T,small SUV,7,35/87,35/74,35/80,10,Yes
HYUNDAI Tuscon Plug-in Hybrid,1.6,4,AMS-6,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NHYXT01.6L2T,small SUV,7,35/87,35/74,35/80,10,Yes
JAGUAR I-PACE EV400 (20 inch tires),N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NJLXT00.0TZA,small SUV,10,78,71,75,10,Elite
JAGUAR I-PACE EV400 (20 inch tires),N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NJLXT00.0TZA,small SUV,10,78,71,75,10,Elite
JAGUAR I-PACE EV400 (22 inch tire),N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NJLXT00.0TZA,small SUV,10,78,71,75,10,Elite
JAGUAR I-PACE EV400 (22 inch tire),N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NJLXT00.0TZA,small SUV,10,78,71,75,10,Elite
JAGUAR I-PACE EV400 SDS,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NJLXT00.0TZA,small SUV,10,79,71,75,10,Elite
JAGUAR I-PACE EV400 SDS,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NJLXT00.0TZA,small SUV,10,79,71,75,10,Elite
KIA EV6,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NKMXV00.0101,station wagon,10,136,100,117,10,Elite
KIA EV6,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,NKMXV00.0101,station wagon,10,136,100,117,10,Elite
KIA EV6,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NKMXV00.0102,station wagon,10,134,101,117,10,Elite
KIA EV6,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,NKMXV00.0102,station wagon,10,134,101,117,10,Elite
KIA EV6,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NKMXV00.0100,station wagon,10,116,94,105,10,Elite
KIA EV6,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NKMXV00.0100,station wagon,10,116,94,105,10,Elite
KIA Forte,2,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NKMXV02.0CE3,midsize car,7,29,39,33,7,Yes
KIA Forte,2,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NKMXV02.0CE3,midsize car,7,29,39,33,7,Yes
KIA Niro,1.6,4,AMS-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NKMXV01.6L13,station wagon,7,51,46,49,9,Yes
KIA Niro,1.6,4,AMS-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NKMXV01.6L13,station wagon,7,51,46,49,9,Yes
KIA Niro Electric,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NKMXV00.0L41,station wagon,10,123,102,112,10,Elite
KIA Niro Electric,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,NKMXV00.0L41,station wagon,10,123,102,112,10,Elite
KIA Niro FE,1.6,4,AMS-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NKMXV01.6L13,station wagon,7,53,48,50,9,Yes
KIA Niro FE,1.6,4,AMS-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NKMXV01.6L13,station wagon,7,53,48,50,9,Yes
KIA Niro Plug-in Hybrid,1.6,4,AMS-6,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NKMXV01.6L2T,station wagon,7,48/110,44/99,46/105,10,Yes
KIA Niro Plug-in Hybrid,1.6,4,AMS-6,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NKMXV01.6L2T,station wagon,7,48/110,44/99,46/105,10,Yes
KIA Niro Touring,1.6,4,AMS-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NKMXV01.6L13,station wagon,7,46,40,43,8,Yes
KIA Niro Touring,1.6,4,AMS-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NKMXV01.6L13,station wagon,7,46,40,43,8,Yes
KIA Sorento Hybrid,1.6,4,AMS-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NKMXV01.6J13,small SUV,7,39,35,37,8,Yes
KIA Sorento Hybrid,1.6,4,AMS-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NKMXV01.6J13,small SUV,7,39,35,37,8,Yes
KIA Sorento Hybrid,1.6,4,AMS-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NKMXV01.6J13,small SUV,7,36,33,35,7,Yes
KIA Sorento Hybrid,1.6,4,AMS-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NKMXV01.6J13,small SUV,7,36,33,35,7,Yes
KIA Sorento Plug-in Hybrid,1.6,4,AMS-6,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NKMXV01.6J2T,small SUV,7,35/83,33/75,34/79,10,Yes
KIA Sorento Plug-in Hybrid,1.6,4,AMS-6,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NKMXV01.6J2T,small SUV,7,35/83,33/75,34/79,10,Yes
KIA Soul Eco dynamics,2,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NKMXV02.0BE3,station wagon,7,29,35,31,7,Yes
KIA Soul Eco dynamics,2,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NKMXV02.0BE3,station wagon,7,29,35,31,7,Yes
LAND ROVER Range Rover Sport PHEV,2,4,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NJLXT02.0PTW,standard SUV,7,18/42,21/42,19/42,7,Yes
LAND ROVER Range Rover Sport PHEV,2,4,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NJLXT02.0PTW,standard SUV,7,18/42,21/42,19/42,7,Yes
LEXUS ES 300h,2.5,4,SCV-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NTYXV02.5P33,midsize car,7,43,44,44,8,Yes
LEXUS ES 300h,2.5,4,SCV-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NTYXV02.5P33,midsize car,7,43,44,44,8,Yes
LEXUS NX 350h,2.5,4,SCV-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NTYXT02.5P34,small SUV,7,41,37,39,8,Yes
LEXUS NX 350h,2.5,4,SCV-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NTYXT02.5P34,small SUV,7,41,37,39,8,Yes
LEXUS NX 450h+,2.5,4,SCV-6,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NTYXT02.5P33,small SUV,7,38/93,33/75,36/84,10,Yes
LEXUS NX 450h+,2.5,4,SCV-6,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NTYXT02.5P33,small SUV,7,38/93,33/75,36/84,10,Yes
LEXUS UX 250h,2,4,SCV-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NTYXV02.0P3B,small car,7,43,41,42,8,Yes
LEXUS UX 250h,2,4,SCV-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NTYXV02.0P3B,small car,7,43,41,42,8,Yes
LEXUS UX 250h,2,4,SCV-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NTYXV02.0P3B,small car,7,41,38,39,8,Yes
LEXUS UX 250h,2,4,SCV-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NTYXV02.0P3B,small car,7,41,38,39,8,Yes
LINCOLN Aviator PHEV,3,6,SemiAuto-10,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NFMXT03.03P1,standard SUV,7,22/54,25/58,23/56,8,Yes
LINCOLN Aviator PHEV,3,6,SemiAuto-10,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NFMXT03.03P1,standard SUV,7,22/54,25/58,23/56,8,Yes
LINCOLN Corsair PHEV,2.5,4,CVT,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NFMXT02.53CE,small SUV,7,34/83,32/72,33/78,10,Yes
LINCOLN Corsair PHEV,2.5,4,CVT,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NFMXT02.53CE,small SUV,7,34/83,32/72,33/78,10,Yes
"LUCID Air Dream P AWD w/19"" wheels",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NLMUV00.0ZA2,large car,10,117,114,116,10,Elite
"LUCID Air Dream P AWD w/19"" wheels",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NLMUV00.0ZA2,large car,10,117,114,116,10,Elite
"LUCID Air Dream P AWD w/21"" wheels",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NLMUV00.0ZA2,large car,10,110,111,111,10,Elite
"LUCID Air Dream P AWD w/21"" wheels",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NLMUV00.0ZA2,large car,10,110,111,111,10,Elite
"LUCID Air Dream R AWD w/19"" wheels",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NLMUV00.0ZA2,large car,10,126,125,125,10,Elite
"LUCID Air Dream R AWD w/19"" wheels",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NLMUV00.0ZA2,large car,10,126,125,125,10,Elite
"LUCID Air Dream R AWD w/21"" wheels",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NLMUV00.0ZA2,large car,10,115,117,116,10,Elite
"LUCID Air Dream R AWD w/21"" wheels",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NLMUV00.0ZA2,large car,10,115,117,116,10,Elite
"LUCID Air G Touring AWD w/19"" wheels",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NLMUV00.0ZA2,large car,10,130,132,131,10,Elite
"LUCID Air G Touring AWD w/19"" wheels",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NLMUV00.0ZA2,large car,10,130,132,131,10,Elite
"LUCID Air G Touring AWD w/21"" wheels",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NLMUV00.0ZA2,large car,10,121,122,121,10,Elite
"LUCID Air G Touring AWD w/21"" wheels",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NLMUV00.0ZA2,large car,10,121,122,121,10,Elite
MAZDA 3,2,4,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NTKXV02.0CDB,small car,7,28,36,31,7,Yes
MAZDA 3,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NTKXV02.0CDB,small car,7,28,36,31,7,Yes
MAZDA MX-30,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NTKXV00.0AZA,midsize car,10,98,85,92,10,Elite
MAZDA MX-30,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,NTKXV00.0AZA,midsize car,10,98,85,92,10,Elite
MERCEDES-BENZ EQS 450+,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NMBXV00.0ED1,large car,10,97,97,97,10,Elite
MERCEDES-BENZ EQS 450+,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,NMBXV00.0ED1,large car,10,97,97,97,10,Elite
MERCEDES-BENZ EQS 580 4Matic,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NMBXV00.0ED2,large car,10,91,98,94,10,Elite
MERCEDES-BENZ EQS 580 4Matic,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NMBXV00.0ED2,large car,10,91,98,94,10,Elite
MINI Cooper Convertible,1.5,3,AMS-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NBMXV01.5B36,small car,7,29,38,32,7,Yes
MINI Cooper Convertible,1.5,3,AMS-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NBMXV01.5B36,small car,7,29,38,32,7,Yes
MINI Cooper Convertible,1.5,3,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NBMXV01.5B36,small car,7,27,37,31,7,Yes
MINI Cooper Convertible,1.5,3,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NBMXV01.5B36,small car,7,27,37,31,7,Yes
MINI Cooper Hardtop,1.5,3,AMS-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NBMXV01.5B36,small car,7,29,38,32,7,Yes
MINI Cooper Hardtop,1.5,3,AMS-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NBMXV01.5B36,small car,7,29,38,32,7,Yes
MINI Cooper Hardtop,1.5,3,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NBMXV01.5B36,small car,7,27,37,31,7,Yes
MINI Cooper Hardtop,1.5,3,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NBMXV01.5B36,small car,7,27,37,31,7,Yes
MINI Cooper S Hardtop,2,4,AMS-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NBMXV02.0B46,small car,7,28,38,31,7,Yes
MINI Cooper S Hardtop,2,4,AMS-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NBMXV02.0B46,small car,7,28,38,31,7,Yes
MINI Cooper SE Hardtop,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NBMXV00.0F5B,small car,10,119,100,110,10,Elite
MINI Cooper SE Hardtop,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,NBMXV00.0F5B,small car,10,119,100,110,10,Elite
MITSUBISHI Outlander PHEV,2.4,4,Auto-1,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NMTXT02.4H3M,small SUV,7,26/76,26/71,26/74,9,Yes
MITSUBISHI Outlander PHEV,2.4,4,Auto-1,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NMTXT02.4H3M,small SUV,7,26/76,26/71,26/74,9,Yes
NISSAN Altima,2.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NNSXV02.5RPB,midsize car,7,28,39,32,7,Yes
NISSAN Altima,2.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NNSXV02.5RPB,midsize car,7,28,39,32,7,Yes
NISSAN Altima SR,2.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NNSXV02.5RPB,midsize car,7,27,37,31,7,Yes
NISSAN Altima SR,2.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NNSXV02.5RPB,midsize car,7,27,37,31,7,Yes
NISSAN Altima SV/SL,2.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NNSXV02.5RPB,midsize car,7,27,37,31,7,Yes
NISSAN Altima SV/SL,2.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NNSXV02.5RPB,midsize car,7,27,37,31,7,Yes
NISSAN Kicks,1.6,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NNSXV01.6RNA,midsize car,7,31,36,33,7,Yes
NISSAN Kicks,1.6,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NNSXV01.6RNA,midsize car,7,31,36,33,7,Yes
NISSAN Leaf,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NNSXV0000TL2,midsize car,10,123,99,111,10,Elite
NISSAN Leaf,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,NNSXV0000TL2,midsize car,10,123,99,111,10,Elite
NISSAN Leaf,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NNSXV0000TS3,midsize car,10,118,97,108,10,Elite
NISSAN Leaf,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,NNSXV0000TS3,midsize car,10,118,97,108,10,Elite
NISSAN Leaf SV/SL,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NNSXV0000TS3,midsize car,10,114,94,104,10,Elite
NISSAN Leaf SV/SL,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,NNSXV0000TS3,midsize car,10,114,94,104,10,Elite
NISSAN Sentra,2,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NNSXV02.0RMB,midsize car,7,29,39,33,7,Yes
NISSAN Sentra,2,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NNSXV02.0RMB,midsize car,7,29,39,33,7,Yes
NISSAN Sentra SR,2,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NNSXV02.0RMB,midsize car,7,28,37,32,7,Yes
NISSAN Sentra SR,2,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NNSXV02.0RMB,midsize car,7,28,37,32,7,Yes
NISSAN Versa,1.6,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NNSXV01.6RNA,small car,7,32,40,35,7,Yes
NISSAN Versa,1.6,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NNSXV01.6RNA,small car,7,32,40,35,7,Yes
POLESTAR 2 Dual Motor,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVVXV00.0Z0A,midsize car,10,94,84,89,10,Elite
POLESTAR 2 Dual Motor,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NVVXV00.0Z0A,midsize car,10,94,84,89,10,Elite
POLESTAR 2 Single Motor,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVVXV00.0Z0B,midsize car,10,113,100,107,10,Elite
POLESTAR 2 Single Motor,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,NVVXV00.0Z0B,midsize car,10,113,100,107,10,Elite
